시기,금액(억 원),거래량
2009-2Q,11.4,70
2009-3Q,12.1,41
2009-4Q,11.5,8
2010-1Q,13.7,9
2010-2Q,13.7,6
2010-3Q,12.9,6
2010-4Q,13.2,22
2011-1Q,13.9,8
2011-2Q,13.0,3
2011-3Q,13.8,4
2011-4Q,13.6,12
2012-1Q,13.2,4
2012-2Q,13.0,5
2012-3Q,11.5,7
2012-4Q,11.8,28
2013-1Q,11.6,13
2013-2Q,12.4,17
2013-3Q,12.3,13
2013-4Q,12.5,16
2014-1Q,12.5,22
2014-2Q,13.1,9
2014-3Q,12.8,16
2014-4Q,12.9,18
2015-1Q,13.2,36
2015-2Q,13.5,24
2015-3Q,13.8,21
2015-4Q,14.2,25
2016-1Q,14.4,8
2016-2Q,14.4,24
2016-3Q,15.2,24
2016-4Q,15.4,14
2017-1Q,15.5,10
2017-2Q,16.0,35
2017-3Q,17.2,21
2017-4Q,18.2,30
2018-1Q,21.4,11
2018-2Q,20.7,6
2018-3Q,22.2,21
2018-4Q,23.0,1
2019-1Q,21.6,2
2019-2Q,21.6,28
2019-3Q,23.9,19
2019-4Q,26.4,21
2020-1Q,25.7,5
2020-2Q,26.0,19
2020-3Q,27.4,11
2020-4Q,28.0,17
2021-1Q,28.7,12
2021-2Q,29.9,10
2021-3Q,32.2,5
2021-4Q,36.3,2
2022-1Q,36.5,5
2022-2Q,36.0,1